trueR,trueI
-6.440000e-02,-2.667000e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
262144,433595,3145728,9672,-1.149060e-01,-6.291872e-02,2.550855e-03,1.313969e-03,6.150550e-01,1.847307e+00
524288,433806,6291456,19205,-4.788701e-02,-1.572751e-03,2.726789e-04,6.298719e-04,6.574757e-02,8.855361e-01
786432,433927,9437184,28870,-9.020074e-02,-1.677015e-02,6.656783e-04,9.800708e-05,1.605065e-01,1.377880e-01
1048576,433947,12582912,38569,-7.807335e-02,-5.483245e-02,1.869603e-04,7.931234e-04,4.507935e-02,1.115051e+00
1310720,433961,15728640,48133,-5.328305e-02,-2.092317e-02,1.235867e-04,3.302610e-05,2.979888e-02,4.643135e-02
1572864,434069,18874368,57732,-4.297008e-02,-3.200294e-02,4.592414e-04,2.844026e-05,1.107310e-01,3.998413e-02
1835008,434079,22020096,67259,-1.856296e-02,-3.972127e-02,2.101034e-03,1.703357e-04,5.065955e-01,2.394748e-01
2097152,434113,25165824,77031,-3.638503e-02,-3.398433e-02,7.848387e-04,5.349937e-05,1.892381e-01,7.521468e-02
2359296,434128,28311552,86859,-4.975848e-02,-2.189085e-02,2.143742e-04,2.284030e-05,5.168932e-02,3.211114e-02
2621440,434137,31457280,96335,-6.176790e-02,-2.131123e-02,6.927971e-06,2.871636e-05,1.670453e-03,4.037229e-02
2883584,434145,34603008,106024,-5.059096e-02,-1.426095e-02,1.906897e-04,1.539845e-04,4.597857e-02,2.164866e-01
3145728,434152,37748736,115595,-5.113879e-02,-7.577538e-04,1.758597e-04,6.714445e-04,4.240280e-02,9.439828e-01
3407872,434182,40894464,125227,-5.804936e-02,-1.286762e-02,4.033063e-05,1.905056e-04,9.724409e-03,2.678316e-01
3670016,434206,44040192,134823,-6.057182e-02,-2.134450e-02,1.465498e-05,2.836095e-05,3.533569e-03,3.987262e-02
3932160,434254,47185920,144520,-6.716725e-02,-3.401819e-02,7.657673e-06,5.399594e-05,1.846397e-03,7.591281e-02
4194304,434293,50331648,154213,-7.261555e-02,-3.474527e-02,6.749520e-05,6.520997e-05,1.627426e-02,9.167860e-02
4456448,434331,53477376,163871,-8.195850e-02,-4.414305e-02,3.083009e-04,3.053074e-04,7.433666e-02,4.292312e-01
4718592,434382,56623104,173482,-7.710012e-02,-4.291081e-02,1.612930e-04,2.637638e-04,3.889052e-02,3.708252e-01
4980736,434389,59768832,182928,-7.262331e-02,-3.380423e-02,6.762271e-05,5.089720e-05,1.630500e-02,7.155629e-02
5242880,434392,62914560,192488,-6.849142e-02,-3.682531e-02,1.673971e-05,1.031303e-04,4.036233e-03,1.449907e-01
5505024,434404,66060288,202137,-5.906786e-02,-2.582473e-02,2.843178e-05,7.144786e-07,6.855391e-03,1.004484e-03
5767168,434430,69206016,211752,-5.509619e-02,-2.287373e-02,8.656092e-05,1.441165e-05,2.087133e-02,2.026132e-02
6029312,434459,72351744,221294,-5.189845e-02,-2.106027e-02,1.562887e-04,3.146901e-05,3.768390e-02,4.424224e-02
6291456,434475,75497472,230809,-5.316900e-02,-1.618495e-02,1.261354e-04,1.099363e-04,3.041342e-02,1.545593e-01
6553600,434561,78643200,240345,-5.421561e-02,-1.352375e-02,1.037218e-04,1.728240e-04,2.500912e-02,2.429730e-01
6815744,434640,81788928,249709,-5.295234e-02,-1.670505e-02,1.310490e-04,9.930024e-05,3.159817e-02,1.396060e-01
7077888,434653,84934656,259327,-5.411901e-02,-2.040225e-02,1.056988e-04,3.928463e-05,2.548580e-02,5.523020e-02
7340032,434717,88080384,268940,-5.739721e-02,-2.100464e-02,4.903916e-05,3.209630e-05,1.182419e-02,4.512415e-02
7602176,434739,91226112,278704,-5.855905e-02,-1.996953e-02,3.411678e-05,4.489629e-05,8.226143e-03,6.311963e-02
7864320,434800,94371840,288138,-6.105417e-02,-1.455947e-02,1.119459e-05,1.466650e-04,2.699209e-03,2.061961e-01
8126464,434823,97517568,297943,-5.569166e-02,-1.114060e-02,7.583517e-05,2.411623e-04,1.828517e-02,3.390498e-01
8388608,435260,100663296,307712,-5.783010e-02,-1.393117e-02,4.316363e-05,1.622777e-04,1.040749e-02,2.281460e-01
8650752,436624,103809024,317204,-5.860608e-02,-9.021069e-03,3.356957e-05,3.114848e-04,8.094202e-03,4.379160e-01
8912896,437057,106954752,326568,-5.500263e-02,-6.695901e-03,8.831061e-05,3.989646e-04,2.129321e-02,5.609037e-01
9175040,443842,110100480,336371,-5.444070e-02,-1.165182e-02,9.918771e-05,2.255458e-04,2.391587e-02,3.170945e-01
