trueR,trueI
-1.721500e-03,1.278630e-03
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI,var,L2
524288,242391,4194304,525636,-0.001711595,0.001231851,9.810902499999881e-11,2.1882748410000047e-09,2.2863838660000033e-09,4.7816146498855416e-05
1048576,242391,8388608,1051322,-0.001725132,0.001278161,1.3191424000001145e-11,2.199609999999095e-13,1.3411385000001055e-11,3.662155785872722e-06
1572864,242408,12582912,1576942,-0.001714283,0.001264305,5.2085088999998565e-11,2.0520562499999794e-10,2.572907139999965e-10,1.60402840997283e-05
2097152,242417,16777216,2102563,-0.001712829,0.001261947,7.518624100000045e-11,2.783224889999992e-10,3.535087299999996e-10,1.880182783667587e-05
2621440,242421,20971520,2628180,-0.00171632,0.00127399,2.6832400000000293e-11,2.152959999999984e-11,4.8362000000000135e-11,6.954279258125901e-06
3145728,242423,25165824,3153798,-0.001726122,0.00130004,2.136288400000123e-11,4.583880999999965e-10,4.797509839999977e-10,2.1903218576273163e-05
3670016,242423,29360128,3679405,-0.00172634,0.001292958,2.342560000000093e-11,2.052915840000024e-10,2.2871718400000335e-10,1.5123398559847695e-05
4194304,242424,33554432,4205045,-0.001729173,0.001291348,5.887492900000217e-11,1.6174752400000264e-10,2.206224530000048e-10,1.4853365039613239e-05
4718592,242425,37748736,4730697,-0.001725969,0.00128577,1.9971961000000007e-11,5.097960000000139e-11,7.09515610000014e-11,8.423274956927466e-06
5242880,242497,41943040,5256362,-0.001721799,0.001284503,8.940100000002736e-14,3.4492128999999874e-11,3.45815299999999e-11,5.880606261262516e-06
5767168,242498,46137344,5781986,-0.001714358,0.001272474,5.1008163999998746e-11,3.7896336e-11,8.890449999999874e-11,9.42891828366323e-06
6291456,242503,50331648,6307688,-0.001716813,0.001275544,2.196796899999966e-11,9.523396000000109e-12,3.149136499999977e-11,5.611716760493153e-06
6815744,242509,54525952,6833308,-0.001718823,0.001277706,7.1663289999998635e-12,8.537760000000375e-13,8.020104999999901e-12,2.8319789900350426e-06
7340032,242560,58720256,7358940,-0.001715035,0.001273621,4.1796224999999825e-11,2.5090081000000464e-11,6.688630600000029e-11,8.178404856694261e-06
7864320,242683,62914560,7884639,-0.001713605,0.001271344,6.233102499999922e-11,5.3085796000000166e-11,1.1541682099999939e-10,1.0743222095814616e-05
8388608,242888,67108864,8410285,-0.001717656,0.001277928,1.47763360000002e-11,4.92803999999992e-13,1.5269140000000194e-11,3.907574695383339e-06
8912896,480153,71303168,8935870,-0.001720801,0.001280755,4.886009999997745e-13,4.515624999999816e-12,5.004225999999591e-12,2.237012740240786e-06
9437184,480218,75497472,9461524,-0.001722433,0.00128503,8.704890000001e-13,4.095999999999922e-11,4.183048899999932e-11,6.467649418451755e-06
9961472,480229,79691776,9987111,-0.001727357,0.001290021,3.430444899999947e-11,1.2975488099999815e-10,1.640593299999976e-10,1.2808564712722405e-05
10485760,480248,83886080,10512778,-0.001725871,0.00128845,1.9105640999999787e-11,9.643240000000022e-11,1.1553804100000001e-10,1.0748862311891432e-05
