trueR,trueI
-1.044620e-01,1.066940e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
262144,581687,4456448,442780,-1.052196e-01,1.051544e-01,5.738860e-07,2.370354e-06,5.259071e-05,2.082252e-04
524288,581688,8912896,885985,-1.048196e-01,1.042914e-01,1.278924e-07,5.772576e-06,1.172001e-05,5.070954e-04
786432,581690,13369344,1328644,-1.035928e-01,1.046971e-01,7.554821e-07,3.987509e-06,6.923210e-05,3.502851e-04
1048576,581690,17825792,1773146,-1.035353e-01,1.040260e-01,8.587512e-07,7.118109e-06,7.869565e-05,6.252945e-04
1310720,581691,22282240,2214916,-1.030773e-01,1.046835e-01,1.917409e-06,4.042298e-06,1.757106e-04,3.550980e-04
1572864,581692,26738688,2655968,-1.035111e-01,1.046904e-01,9.043010e-07,4.014275e-06,8.286982e-05,3.526364e-04
1835008,581694,31195136,3099039,-1.031341e-01,1.049151e-01,1.763423e-06,3.164593e-06,1.615994e-04,2.779956e-04
2097152,581696,35651584,3542345,-1.032634e-01,1.052709e-01,1.436689e-06,2.025208e-06,1.316576e-04,1.779056e-04
2359296,581696,40108032,3984869,-1.035711e-01,1.058861e-01,7.937218e-07,6.527445e-07,7.273637e-05,5.734073e-05
2621440,581698,44564480,4428405,-1.035078e-01,1.056096e-01,9.105324e-07,1.176009e-06,8.344085e-05,1.033072e-04
2883584,581700,49020928,4871238,-1.034586e-01,1.058184e-01,1.006870e-06,7.666096e-07,9.226923e-05,6.734327e-05
3145728,581702,53477376,5314465,-1.035952e-01,1.062601e-01,7.513174e-07,1.882817e-07,6.885044e-05,1.653972e-05
3407872,581703,57933824,5756993,-1.038147e-01,1.061938e-01,4.190539e-07,2.502022e-07,3.840194e-05,2.197916e-05
3670016,581703,62390272,6202547,-1.039968e-01,1.063614e-01,2.164174e-07,1.106485e-07,1.983241e-05,9.719980e-06
3932160,581706,66846720,6644456,-1.041454e-01,1.063355e-01,1.002434e-07,1.285219e-07,9.186271e-06,1.129009e-05
