trueR,trueI
3.645780e-03,6.058400e-04
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI,var,L2
524288,748672,524288,35,0.002263499,0.00304117,1.9107007629609997e-06,5.930832208900001e-06,7.841532971861001e-06,0.0028002737315950027
1048576,748762,1048576,68,0.003618114,0.001198664,7.654075559999986e-10,3.5144029497599994e-07,3.5220570253199993e-07,0.0005934692094220222
1572864,748838,1572864,99,0.003719185,0.004082764,5.388294024999987e-09,1.2089000501776001e-05,1.2094388795801e-05,0.0034776987787617547
2097152,748872,2097152,138,0.004275563,0.003406988,3.9662662708899957e-07,7.846430117904002e-06,8.243056744993001e-06,0.0028710724033003767
2621440,749006,2621440,167,0.003974983,0.002423049,1.083746152089998e-07,3.3022485496810007e-06,3.4106231648900006e-06,0.0018467872549078306
3145728,749042,3145728,202,0.003716673,0.001655611,5.025817449000037e-09,1.1020191524410003e-06,1.1070449698900003e-06,0.0010521620454521253
3670016,749133,3670016,227,0.00339469,0.001935246,6.30461880999999e-08,1.767320312836e-06,1.830366500936e-06,0.0013529103817090029
4194304,749146,4194304,263,0.003679875,0.001605977,1.162469025000003e-09,1.0002740187689998e-06,1.0014364877939998e-06,0.0010007179861449477
4718592,749178,4718592,309,0.003828929,0.001327285,3.354355620100003e-08,5.204828880250002e-07,5.540264442260003e-07,0.0007443295266385717
5242880,749208,5242880,349,0.003882802,0.001155742,5.617942848399997e-08,3.02392209604e-07,3.5857163808799997e-07,0.0005988085153769943
5767168,749247,5767168,387,0.003710122,0.001174693,4.139892964000028e-09,3.2359373560900017e-07,3.277336285730002e-07,0.0005724802429542877
6291456,749305,6291456,421,0.003724172,0.001280743,6.145305664000007e-09,4.5549405940900004e-07,4.61639365073e-07,0.0006794404794189113
6815744,749312,6815744,472,0.003719455,0.001316338,5.428005625000006e-09,5.048074080040001e-07,5.102354136290001e-07,0.0007143076463464465
7340032,749310,7340032,509,0.003489682,0.001337761,2.4366585603999973e-08,5.357083502410001e-07,5.60074935845e-07,0.0007483815442974259
7864320,749314,7864320,539,0.003595732,0.001167277,2.504802304000002e-09,3.15211504969e-07,3.17716307273e-07,0.0005636632924654576
8388608,749330,8388608,578,0.003406316,0.001148035,5.7343007295999996e-08,2.9397541802499996e-07,3.5131842532099997e-07,0.0005927212037045747
8912896,749332,8912896,634,0.003507483,0.0009966968,1.912606020899997e-08,1.527690381062401e-07,1.7189509831524007e-07,0.0004146023375660587
9437184,749340,9437184,667,0.003544401,0.0007976198,1.0277701640999993e-08,3.677949168804002e-08,4.7057193329040015e-08,0.00021692670035991423
9961472,749341,9961472,702,0.003505616,0.000873111,1.9645946895999977e-08,7.143378744100001e-08,9.107973433699999e-08,0.00030179419201999233
10485760,749367,10485760,741,0.003468969,0.001046995,3.1262129720999934e-08,1.9461773402500004e-07,2.2587986374599996e-07,0.0004752682019091956
11010048,749370,11010048,777,0.003385016,0.001107662,6.799786369600007e-08,2.51825319684e-07,3.1982318338000007e-07,0.0005655291180655511
11534336,749386,11534336,814,0.004314062,0.0009833106,4.466008315239995e-07,1.4248405386436007e-07,5.890848853883595e-07,0.0007675186547494201
12058624,749405,12058624,844,0.004336356,0.0007985362,4.768952117760007e-07,3.713182549444003e-08,5.140270372704407e-07,0.0007169567889841345
12582912,749444,12582912,876,0.003930186,0.0006502262,8.08867728359998e-08,1.9701347504400055e-09,8.28569075864398e-08,0.0002878487581811667
13107200,749456,13107200,910,0.003864613,0.000616934,4.7887881888999946e-08,1.2307683600000027e-10,4.801095872499994e-08,0.00021911403132843853
13631488,749465,13631488,942,0.00414951,0.0006261751,2.537439129000004e-07,4.13516292010002e-10,2.541574291920104e-07,0.0005041402872137977
14155776,749483,14155776,969,0.003953343,0.000780124,9.459499896899991e-08,3.037491265600001e-08,1.2496991162499992e-07,0.00035351083664436644
14680064,749499,14680064,1005,0.004087442,0.0007571563,1.9506532224400019e-07,2.289662264569002e-08,2.179619448896902e-07,0.00046686394687284454
15204352,749508,15204352,1035,0.004009412,0.0008511113,1.3222823142400032e-07,6.015801060369001e-08,1.9238624202769032e-07,0.0004386185609703382
15728640,749542,15728640,1084,0.004115001,0.0009508689,2.2016834684100011e-07,1.1904494183521002e-07,3.392132886762101e-07,0.0005824201994060732
16252928,749557,16252928,1124,0.004084493,0.0009638159,1.9246909636899988e-07,1.2814674498081004e-07,3.206158413498099e-07,0.0005662294953018695
16777216,749595,16777216,1155,0.003861054,0.000986431,4.634289507600005e-08,1.4484950928100008e-07,1.9119240435700013e-07,0.00043725553667964013
17301504,749651,17301504,1189,0.004027002,0.00105434,1.4533021328400006e-07,2.0115225e-07,3.464824632840001e-07,0.0005886276100252179
17825792,749705,17825792,1225,0.003982286,0.0008860372,1.1323628803599991e-07,7.851047088784e-08,1.917467589238399e-07,0.00043788898013519354
18350080,749719,18350080,1264,0.003852433,0.001152965,4.270546240900009e-08,2.9934576562499997e-07,3.4205122803400004e-07,0.0005848514580934206
18874368,749771,18874368,1301,0.003857258,0.001195335,4.472294448400008e-08,3.475043550250001e-07,3.9222729950900016e-07,0.0006262805278060305
19398656,749831,19398656,1338,0.003886254,0.001354657,5.782774467600003e-08,5.607268994890001e-07,6.185546441650001e-07,0.0007864824500044487
19922944,749891,19922944,1372,0.003828172,0.001187908,3.326684166399999e-08,3.388031566240002e-07,3.7206999828800016e-07,0.0006099754079370742
20447232,749929,20447232,1403,0.004062265,0.001115638,1.7345975522499988e-07,2.59894000804e-07,4.333537560289999e-07,0.000658296100572531
