trueR,trueI
-1.281710e-03,-8.649000e-05
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI,var,L2
524288,7691040,28835840,525245,-0.001717934,-0.0002722511,1.9029137817600001e-07,3.450718627321001e-08,2.2479856444921003e-07,0.0004741292697663898
1048576,7691772,57671680,1050525,-0.001451733,1.486983e-07,2.8907820529000016e-08,7.506264043118422e-09,3.6414084572118436e-08,0.00019082474832190512
1572864,7691951,86507520,1575934,-0.001271937,1.600744e-05,9.551152900000058e-11,1.0505725206553598e-08,1.0601236735553599e-08,0.00010296230735348543
2097152,7693320,115343360,2101301,-0.0008686644,-0.0002069257,1.7060666767935991e-07,1.450475783449e-08,1.8511142551384992e-07,0.0004302457733829002
2621440,7694993,144179200,2626742,-0.000952467,-0.0004524977,1.0840095304899994e-07,1.3396163645929003e-07,2.4236258950829e-07,0.0004923033511040626
3145728,7695940,173015040,3151866,-0.001083688,-0.0004383643,3.921271248399998e-08,1.2381552300049e-07,1.6302823548448998e-07,0.0004037675513020951
3670016,7697375,201850880,3677313,-0.001338929,-0.0004619271,3.2740139610000074e-09,1.4095301605641e-07,1.4422703001741e-07,0.0003797723397213257
4194304,7697470,230686720,4202373,-0.001327153,-0.0003310948,2.0650662490000042e-09,5.983150818304e-08,6.189657443204e-08,0.0002487902217371897
4718592,7697473,259522560,4727798,-0.001398429,-0.000279356,1.3623324961000036e-08,3.719729395600001e-08,5.0820618917000045e-08,0.00022543428957680781
5242880,7698327,288358400,5253310,-0.001346936,-0.0004017718,4.254431076000005e-09,9.940261341124e-08,1.0365704448724e-07,0.0003219581408929428
5767168,7698633,317194240,5778771,-0.001313733,-0.0004526832,1.0254725290000105e-09,1.3409745972624002e-07,1.3512293225524004e-07,0.0003675907129610867
6291456,7699223,346030080,6303845,-0.001353855,-0.0004060771,5.204901025000003e-09,1.0213591448641001e-07,1.0734081551141001e-07,0.00032762908221250754
6815744,7699283,374865920,6829274,-0.001316183,-0.0003736545,1.1883877290000099e-09,8.246345006025002e-08,8.365183778925003e-08,0.000289226274375704
7340032,7699678,403701760,7354743,-0.001381372,-0.0004000077,9.932514244000029e-09,9.829334821329e-08,1.0822586245729003e-07,0.00032897699381155825
7864320,7700240,432537600,7880094,-0.001355098,-0.0003698118,5.3857985439999955e-09,8.027124235524e-08,8.565704089923999e-08,0.0002926722414224485
8388608,7700771,461373440,8405644,-0.001345049,-0.0003423607,4.011828921000019e-09,6.546981511849002e-08,6.948164403949003e-08,0.0002635937101667831
8912896,7701262,490209280,8931096,-0.001333858,-0.0003190633,2.719413904000013e-09,5.4090339872890007e-08,5.680975377689002e-08,0.00023834796784720028
9437184,7701952,519045120,9456299,-0.001299807,-0.000289579,3.275014090000044e-10,4.1245141921e-08,4.1572643330000006e-08,0.00020389370595974758
9961472,7703188,547880960,9981730,-0.001322362,-0.0003097095,1.6525851040000145e-09,4.9826945180249993e-08,5.147953028425001e-08,0.00022689100970344771
10485760,7703231,576716800,10506884,-0.001298986,-0.0003003347,2.9846017600000333e-10,4.572955571809e-08,4.6028015894090003e-08,0.00021454140834368084
11010048,7703642,605552640,11032458,-0.001276648,-0.0003586281,2.562384399999904e-11,7.405914547161e-08,7.408476931561e-08,0.0002721851746800512
11534336,7704272,634388480,11558045,-0.001268041,-0.000341894,1.868415610000002e-10,6.523120321599998e-08,6.541804477699998e-08,0.0002557695149485176
