trueR,trueI
-1.281710e-03,-8.649000e-05
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,2621970,524288,66,4.101658e-02,-7.480420e-03,1.789145e-03,5.467020e-05,1.089096e+03,7.308341e+03
1048576,2622135,1048576,117,1.782269e-02,5.298246e-02,3.649783e-04,2.816314e-03,2.221710e+02,3.764863e+05
1572864,2622185,1572864,181,-2.043688e-02,-9.134933e-04,3.669204e-04,6.839345e-07,2.233533e+02,9.142873e+01
2097152,2622239,2097152,247,-2.816603e-02,-6.347661e-02,7.227664e-04,4.018309e-03,4.399653e+02,5.371696e+05
2621440,2622259,2621440,332,-2.237496e-02,-3.351896e-02,4.449251e-04,1.117730e-03,2.708366e+02,1.494188e+05
3145728,2622394,3145728,397,3.676452e-03,-5.164099e-02,2.458337e-05,2.657866e-03,1.496449e+01,3.553050e+05
3670016,2622460,3670016,452,-1.280017e-03,-4.641611e-02,2.865556e-12,2.146434e-03,1.744333e-06,2.869364e+05
4194304,2622679,4194304,515,1.181655e-03,-3.284155e-02,6.068165e-06,1.072894e-03,3.693838e+00,1.434251e+05
4718592,2622721,4718592,587,7.035112e-03,-3.445812e-02,6.916953e-05,1.181409e-03,4.210516e+01,1.579314e+05
5242880,2622746,5242880,648,-1.958368e-03,-2.434142e-02,4.578659e-07,5.883014e-04,2.787140e-01,7.864445e+04
5767168,2622793,5767168,713,6.306404e-03,-1.754877e-02,5.757947e-05,3.049312e-04,3.505001e+01,4.076338e+04
6291456,2622802,6291456,784,7.855329e-03,-1.329681e-02,8.348548e-05,1.745124e-04,5.081962e+01,2.332892e+04
6815744,2623154,6815744,835,2.182103e-03,-1.270861e-02,1.199800e-05,1.593179e-04,7.303470e+00,2.129770e+04
7340032,2623178,7340032,905,2.480274e-03,-1.995618e-02,1.415252e-05,3.948045e-04,8.614982e+00,5.277768e+04
7864320,2623225,7864320,955,1.643406e-03,-1.607194e-02,8.556302e-06,2.555347e-04,5.208426e+00,3.416002e+04
8388608,2623306,8388608,1023,-2.948568e-03,-1.796694e-02,2.778416e-06,3.197105e-04,1.691288e+00,4.273907e+04
8912896,2623318,8912896,1083,4.247366e-03,-1.729077e-02,3.057067e-05,2.959874e-04,1.860910e+01,3.956775e+04
9437184,2623666,9437184,1151,5.916118e-03,-1.588457e-02,5.180872e-05,2.495792e-04,3.153721e+01,3.336388e+04
9961472,2623781,9961472,1214,7.429176e-03,-1.625045e-02,7.587954e-05,2.612735e-04,4.618970e+01,3.492718e+04
10485760,2623875,10485760,1278,1.343944e-02,-1.402592e-02,2.167122e-04,1.943078e-04,1.319179e+02,2.597517e+04
11010048,2623989,11010048,1362,1.753015e-02,-2.030528e-02,3.538860e-04,4.087994e-04,2.154189e+02,5.464854e+04
11534336,2624280,11534336,1429,1.918688e-02,-2.134337e-02,4.189633e-04,4.518551e-04,2.550330e+02,6.040425e+04
12058624,2625212,12058624,1483,2.102764e-02,-1.854889e-02,4.977069e-04,3.408602e-04,3.029662e+02,4.556639e+04
12582912,2626839,12582912,1543,1.976217e-02,-1.005334e-02,4.428449e-04,9.933807e-05,2.695703e+02,1.327957e+04
13107200,2626913,13107200,1590,1.623251e-02,-1.199824e-02,3.067478e-04,1.418897e-04,1.867247e+02,1.896790e+04
13631488,2627005,13631488,1650,1.656154e-02,-1.083358e-02,3.183816e-04,1.154999e-04,1.938066e+02,1.544009e+04
14155776,2627133,14155776,1714,1.992317e-02,-7.608674e-03,4.496468e-04,5.658325e-05,2.737108e+02,7.564079e+03
14680064,2630241,14680064,1785,1.141343e-02,-8.238487e-03,1.611666e-04,6.645505e-05,9.810598e+01,8.883748e+03
15204352,2632552,15204352,1836,1.189525e-02,-5.986699e-03,1.736322e-04,3.481246e-05,1.056941e+02,4.653749e+03
15728640,2633746,15728640,1904,1.527248e-02,-7.721961e-03,2.740413e-04,5.830041e-05,1.668155e+02,7.793632e+03
16252928,2634684,16252928,1973,1.855698e-02,-4.385671e-03,3.935738e-04,1.848296e-05,2.395778e+02,2.470812e+03
16777216,2636957,16777216,2030,1.284770e-02,-4.827648e-03,1.996403e-04,2.247858e-05,1.215258e+02,3.004948e+03
17301504,2646068,17301504,2092,1.224266e-02,-5.911405e-03,1.829086e-04,3.392963e-05,1.113408e+02,4.535732e+03
17825792,2648988,17825792,2169,1.164003e-02,-7.347596e-04,1.669714e-04,4.202535e-07,1.016395e+02,5.617971e+01
18350080,2661415,18350080,2233,8.117137e-03,4.922362e-04,8.833834e-05,3.349241e-07,5.377367e+01,4.477283e+01
18874368,2672190,18874368,2294,1.237713e-02,1.726863e-03,1.865638e-04,3.288248e-06,1.135659e+02,4.395748e+02
19398656,2673860,19398656,2348,1.548439e-02,2.359797e-03,2.811021e-04,5.984323e-06,1.711136e+02,7.999875e+02
19922944,2674420,19922944,2417,1.636339e-02,4.231000e-03,3.113494e-04,1.864072e-05,1.895259e+02,2.491901e+03
20447232,2674442,20447232,2482,1.672220e-02,5.353254e-03,3.241409e-04,2.959082e-05,1.973124e+02,3.955717e+03
20971520,2674690,20971520,2552,1.699677e-02,7.815231e-03,3.341028e-04,6.243719e-05,2.033764e+02,8.346637e+03
21495808,2675000,21495808,2629,1.409827e-02,4.646197e-03,2.365437e-04,2.239833e-05,1.439898e+02,2.994221e+03
22020096,2675277,22020096,2688,1.539772e-02,5.419784e-03,2.782035e-04,3.031905e-05,1.693491e+02,4.053067e+03
22544384,2675514,22544384,2747,1.777341e-02,5.412385e-03,3.630976e-04,3.023763e-05,2.210262e+02,4.042183e+03
23068672,2675628,23068672,2798,1.855920e-02,5.398806e-03,3.936618e-04,3.008847e-05,2.396314e+02,4.022244e+03
23592960,2675654,23592960,2854,1.836844e-02,1.761075e-03,3.861283e-04,3.413495e-06,2.350456e+02,4.563178e+02
24117248,2675784,24117248,2897,1.975396e-02,2.178936e-03,4.424996e-04,5.132156e-06,2.693601e+02,6.860695e+02
24641536,2676013,24641536,2959,1.977098e-02,5.730730e-04,4.432157e-04,4.350233e-07,2.697961e+02,5.815416e+01
25165824,2676071,25165824,3012,1.913131e-02,2.753816e-03,4.166915e-04,8.067340e-06,2.536501e+02,1.078447e+03
25690112,2676075,25690112,3059,1.565336e-02,3.780278e-03,2.867966e-04,1.495189e-05,1.745800e+02,1.998777e+03
26214400,2676079,26214400,3122,1.951160e-02,4.019132e-03,4.323617e-04,1.685613e-05,2.631890e+02,2.253337e+03
26738688,2676089,26738688,3190,1.891785e-02,4.163074e-03,4.080224e-04,1.805879e-05,2.483730e+02,2.414109e+03
27262976,2676129,27262976,3246,1.781504e-02,6.332900e-03,3.646860e-04,4.120857e-05,2.219931e+02,5.508784e+03
27787264,2676166,27787264,3304,1.589621e-02,7.444653e-03,2.950811e-04,5.671812e-05,1.796229e+02,7.582109e+03
28311552,2676267,28311552,3368,1.596286e-02,1.056228e-02,2.973753e-04,1.133964e-04,1.810195e+02,1.515889e+04
28835840,2676302,28835840,3433,1.531411e-02,1.044788e-02,2.754214e-04,1.109731e-04,1.676556e+02,1.483494e+04
29360128,2676596,29360128,3489,1.617314e-02,8.869870e-03,3.046720e-04,8.021638e-05,1.854612e+02,1.072337e+04
29884416,2676758,29884416,3550,1.518602e-02,1.080983e-02,2.711862e-04,1.187298e-04,1.650776e+02,1.587187e+04
30408704,2676875,30408704,3618,1.356898e-02,9.719802e-03,2.205431e-04,9.616336e-05,1.342499e+02,1.285517e+04
30932992,2677084,30932992,3676,1.464227e-02,1.056933e-02,2.535733e-04,1.135466e-04,1.543562e+02,1.517897e+04
31457280,2677225,31457280,3735,1.229136e-02,9.488640e-03,1.842283e-04,9.168312e-05,1.121442e+02,1.225625e+04
31981568,2677334,31981568,3804,1.302495e-02,9.976466e-03,2.046806e-04,1.012631e-04,1.245940e+02,1.353691e+04
32505856,2677859,32505856,3863,1.195099e-02,9.115193e-03,1.751044e-04,8.467097e-05,1.065902e+02,1.131886e+04
33030144,2678068,33030144,3922,1.299223e-02,8.602716e-03,2.037454e-04,7.550230e-05,1.240247e+02,1.009319e+04
33554432,2679305,33554432,3985,1.030281e-02,7.356270e-03,1.342011e-04,5.539468e-05,8.169141e+01,7.405191e+03
34078720,2680654,34078720,4054,9.015155e-03,6.330381e-03,1.060254e-04,4.117624e-05,6.454023e+01,5.504462e+03
34603008,2681183,34603008,4108,9.210541e-03,5.517418e-03,1.100873e-04,3.140378e-05,6.701281e+01,4.198074e+03
35127296,2682800,35127296,4166,9.102684e-03,5.794489e-03,1.078356e-04,3.458592e-05,6.564214e+01,4.623465e+03
