trueR,trueI
-1.721500e-03,1.278630e-03
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,87995,524288,8,-1.721018e-03,1.696413e-03,2.326216e-13,1.745428e-07,7.849394e-08,1.067609e-01
1048576,88050,1048576,13,-1.810434e-03,2.212494e-03,7.909189e-09,8.721022e-07,2.668811e-03,5.334302e-01
1572864,88052,1572864,15,-1.834257e-03,7.950244e-04,1.271406e-08,2.338744e-07,4.290126e-03,1.430517e-01
2097152,88110,2097152,18,-1.660670e-03,1.005555e-03,3.700293e-09,7.457019e-08,1.248596e-03,4.561162e-02
2621440,88110,2621440,25,-2.744047e-03,3.154759e-03,1.045603e-06,3.519860e-06,3.528198e-01,2.152959e+00
3145728,88135,3145728,28,-2.476691e-03,2.901823e-03,5.703135e-07,2.634757e-06,1.924419e-01,1.611576e+00
3670016,88192,3670016,33,-2.394285e-03,2.877074e-03,4.526398e-07,2.555023e-06,1.527351e-01,1.562806e+00
4194304,88257,4194304,36,-2.237488e-03,2.722083e-03,2.662437e-07,2.083556e-06,8.983909e-02,1.274428e+00
4718592,88260,4718592,40,-2.157754e-03,2.662169e-03,1.903174e-07,1.914181e-06,6.421914e-02,1.170828e+00
5242880,88288,5242880,48,-2.094402e-03,1.985528e-03,1.390561e-07,4.997052e-07,4.692195e-02,3.056498e-01
5767168,88308,5767168,54,-2.111258e-03,2.102688e-03,1.519115e-07,6.790723e-07,5.125977e-02,4.153615e-01
6291456,88320,6291456,56,-1.998649e-03,2.018417e-03,7.681133e-08,5.472848e-07,2.591858e-02,3.347524e-01
6815744,88329,6815744,63,-2.049505e-03,2.157001e-03,1.075876e-07,7.715349e-07,3.630348e-02,4.719172e-01
7340032,88395,7340032,71,-2.120238e-03,2.314766e-03,1.589919e-07,1.073579e-06,5.364891e-02,6.566654e-01
7864320,88442,7864320,74,-2.041764e-03,1.882881e-03,1.025691e-07,3.651197e-07,3.461008e-02,2.233292e-01
8388608,88537,8388608,76,-1.961650e-03,1.833416e-03,5.767209e-08,3.077872e-07,1.946039e-02,1.882612e-01
8912896,173734,8912896,85,-2.047420e-03,2.014476e-03,1.062236e-07,5.414688e-07,3.584321e-02,3.311949e-01
9437184,173773,9437184,90,-2.039221e-03,2.054148e-03,1.009467e-07,6.014280e-07,3.406264e-02,3.678696e-01
9961472,173808,9961472,94,-2.011887e-03,2.060922e-03,8.432492e-08,6.119809e-07,2.845391e-02,3.743244e-01
